batch_id,blueprint_path,scenario_family_id,severity_id,replication_count,planned_run_count,policy_option_count,planned_algorithm_run_count,executable_status,interpretation_status
campaign_combined_delay_light_batch_blueprint,analysis\reports\campaign_batch_blueprints\campaign_combined_delay_light_batch_blueprint_blueprint.json,combined_delay,light,3,3,3,9,blueprint_not_executable_yet,planning_blueprint_only
campaign_combined_delay_moderate_batch_blueprint,analysis\reports\campaign_batch_blueprints\campaign_combined_delay_moderate_batch_blueprint_blueprint.json,combined_delay,moderate,3,3,3,9,blueprint_not_executable_yet,planning_blueprint_only
campaign_combined_delay_severe_batch_blueprint,analysis\reports\campaign_batch_blueprints\campaign_combined_delay_severe_batch_blueprint_blueprint.json,combined_delay,severe,3,3,3,9,blueprint_not_executable_yet,planning_blueprint_only
campaign_reassignment_opportunity_light_batch_blueprint,analysis\reports\campaign_batch_blueprints\campaign_reassignment_opportunity_light_batch_blueprint_blueprint.json,reassignment_opportunity,light,3,3,3,9,blueprint_not_executable_yet,planning_blueprint_only
campaign_reassignment_opportunity_moderate_batch_blueprint,analysis\reports\campaign_batch_blueprints\campaign_reassignment_opportunity_moderate_batch_blueprint_blueprint.json,reassignment_opportunity,moderate,3,3,3,9,blueprint_not_executable_yet,planning_blueprint_only
campaign_reassignment_opportunity_severe_batch_blueprint,analysis\reports\campaign_batch_blueprints\campaign_reassignment_opportunity_severe_batch_blueprint_blueprint.json,reassignment_opportunity,severe,3,3,3,9,blueprint_not_executable_yet,planning_blueprint_only
campaign_service_delay_only_light_batch_blueprint,analysis\reports\campaign_batch_blueprints\campaign_service_delay_only_light_batch_blueprint_blueprint.json,service_delay_only,light,3,3,3,9,blueprint_not_executable_yet,planning_blueprint_only
campaign_service_delay_only_moderate_batch_blueprint,analysis\reports\campaign_batch_blueprints\campaign_service_delay_only_moderate_batch_blueprint_blueprint.json,service_delay_only,moderate,3,3,3,9,blueprint_not_executable_yet,planning_blueprint_only
campaign_service_delay_only_severe_batch_blueprint,analysis\reports\campaign_batch_blueprints\campaign_service_delay_only_severe_batch_blueprint_blueprint.json,service_delay_only,severe,3,3,3,9,blueprint_not_executable_yet,planning_blueprint_only
campaign_travel_delay_only_light_batch_blueprint,analysis\reports\campaign_batch_blueprints\campaign_travel_delay_only_light_batch_blueprint_blueprint.json,travel_delay_only,light,3,3,3,9,blueprint_not_executable_yet,planning_blueprint_only
campaign_travel_delay_only_moderate_batch_blueprint,analysis\reports\campaign_batch_blueprints\campaign_travel_delay_only_moderate_batch_blueprint_blueprint.json,travel_delay_only,moderate,3,3,3,9,blueprint_not_executable_yet,planning_blueprint_only
campaign_travel_delay_only_severe_batch_blueprint,analysis\reports\campaign_batch_blueprints\campaign_travel_delay_only_severe_batch_blueprint_blueprint.json,travel_delay_only,severe,3,3,3,9,blueprint_not_executable_yet,planning_blueprint_only
