batch_id,scenario_family_id,severity_id,recommendation_class,recommended_policy_id,recommended_replanning_method_id,has_clear_winner,mean_delta_objective_value,mean_delta_makespan,mean_delta_total_travel_time,semantic_status,semantic_problem_count,semantic_warning_count,service_effect_class,service_warning_count,threshold_with_greedy_trigger_class,threshold_without_solver_trigger_class,threshold_should_replan_count,threshold_request_count,threshold_applied_count,provisional_action,evidence_strength,methodological_caution
campaign_combined_delay_light_batch,combined_delay,light,weak_or_tied,no_replanning_policy_v1,replanning_not_implemented_v1,False,0.0,0.0,10.0,ok,0,0,visible_but_neutral_and_kept_plan,1,expected_no_trigger,expected_no_trigger,0,0,0,review_service_delay_modeling_before_concluding,low,service delay visible but weak under current objective/makespan; weak or tied recommendation
campaign_combined_delay_moderate_batch,combined_delay,moderate,replanning_tradeoff,threshold_delay_replanning_policy_v1,greedy_replanning_solver_v1,True,-52.0,38.0,-17.0,ok,0,0,visible_with_metric_effect,0,triggered_and_applied,triggered_without_solver,6,6,3,replan_candidate_with_makespan_monitoring,medium,replanning improves objective but increases makespan
campaign_combined_delay_severe_batch,combined_delay,severe,replanning_tradeoff,threshold_delay_replanning_policy_v1,greedy_replanning_solver_v1,True,-52.0,66.0,-17.0,ok,0,0,visible_with_metric_effect,0,triggered_and_applied,triggered_without_solver,6,6,3,replan_candidate_with_makespan_monitoring,medium,replanning improves objective but increases makespan
campaign_reassignment_opportunity_light_batch,reassignment_opportunity,light,weak_or_tied,no_replanning_policy_v1,replanning_not_implemented_v1,False,0.0,0.0,10.0,ok,0,0,not_service_related,0,expected_no_trigger,expected_no_trigger,0,0,0,keep_current_plan_candidate,low,weak or tied recommendation
campaign_reassignment_opportunity_moderate_batch,reassignment_opportunity,moderate,replanning_tradeoff,threshold_delay_replanning_policy_v1,greedy_replanning_solver_v1,True,-52.0,3.0,-17.0,ok,0,0,not_service_related,0,triggered_and_applied,triggered_without_solver,6,6,3,replan_candidate_with_makespan_monitoring,medium,replanning improves objective but increases makespan
campaign_reassignment_opportunity_severe_batch,reassignment_opportunity,severe,replanning_tradeoff,threshold_delay_replanning_policy_v1,greedy_replanning_solver_v1,True,-52.0,3.0,-17.0,ok,0,0,not_service_related,0,triggered_and_applied,triggered_without_solver,6,6,3,replan_candidate_with_makespan_monitoring,medium,replanning improves objective but increases makespan
campaign_service_delay_only_light_batch,service_delay_only,light,weak_or_tied,no_replanning_policy_v1,replanning_not_implemented_v1,False,0.0,0.0,0.0,ok,0,0,visible_but_neutral_and_kept_plan,1,expected_no_trigger,expected_no_trigger,0,0,0,review_service_delay_modeling_before_concluding,low,service delay visible but weak under current objective/makespan; weak or tied recommendation
campaign_service_delay_only_moderate_batch,service_delay_only,moderate,weak_or_tied,no_replanning_policy_v1,replanning_not_implemented_v1,False,0.0,0.0,0.0,ok,0,0,visible_but_neutral_and_kept_plan,1,triggered_and_applied,triggered_without_solver,6,6,3,review_service_delay_modeling_before_concluding,low,service delay visible but weak under current objective/makespan; weak or tied recommendation
campaign_service_delay_only_severe_batch,service_delay_only,severe,weak_or_tied,no_replanning_policy_v1,replanning_not_implemented_v1,False,0.0,0.0,0.0,ok,0,0,visible_but_neutral_and_kept_plan,1,triggered_and_applied,triggered_without_solver,6,6,3,review_service_delay_modeling_before_concluding,low,service delay visible but weak under current objective/makespan; weak or tied recommendation
campaign_travel_delay_only_light_batch,travel_delay_only,light,weak_or_tied,no_replanning_policy_v1,replanning_not_implemented_v1,False,0.0,0.0,10.0,ok,0,0,not_service_related,0,expected_no_trigger,expected_no_trigger,0,0,0,keep_current_plan_candidate,low,weak or tied recommendation
campaign_travel_delay_only_moderate_batch,travel_delay_only,moderate,replanning_tradeoff,threshold_delay_replanning_policy_v1,greedy_replanning_solver_v1,True,-52.0,3.0,-17.0,ok,0,0,not_service_related,0,triggered_and_applied,triggered_without_solver,6,6,3,replan_candidate_with_makespan_monitoring,medium,replanning improves objective but increases makespan
campaign_travel_delay_only_severe_batch,travel_delay_only,severe,replanning_tradeoff,threshold_delay_replanning_policy_v1,greedy_replanning_solver_v1,True,-52.0,3.0,-17.0,ok,0,0,not_service_related,0,triggered_and_applied,triggered_without_solver,6,6,3,replan_candidate_with_makespan_monitoring,medium,replanning improves objective but increases makespan
