batch_id,scenario_family_id,severity_id,planned_run_count,policy_option_count,generated_experiment_count,config_path,source_blueprint_path,semantic_status,scientific_status
campaign_combined_delay_light_batch,combined_delay,light,3,3,9,data\experiments\campaign_batches\campaign_combined_delay_light_batch.json,analysis\reports\campaign_batch_blueprints\campaign_combined_delay_light_batch_blueprint_blueprint.json,template_based_executable_candidate,not_final_campaign_semantics
campaign_combined_delay_moderate_batch,combined_delay,moderate,3,3,9,data\experiments\campaign_batches\campaign_combined_delay_moderate_batch.json,analysis\reports\campaign_batch_blueprints\campaign_combined_delay_moderate_batch_blueprint_blueprint.json,template_based_executable_candidate,not_final_campaign_semantics
campaign_combined_delay_severe_batch,combined_delay,severe,3,3,9,data\experiments\campaign_batches\campaign_combined_delay_severe_batch.json,analysis\reports\campaign_batch_blueprints\campaign_combined_delay_severe_batch_blueprint_blueprint.json,template_based_executable_candidate,not_final_campaign_semantics
campaign_reassignment_opportunity_light_batch,reassignment_opportunity,light,3,3,9,data\experiments\campaign_batches\campaign_reassignment_opportunity_light_batch.json,analysis\reports\campaign_batch_blueprints\campaign_reassignment_opportunity_light_batch_blueprint_blueprint.json,template_based_executable_candidate,not_final_campaign_semantics
campaign_reassignment_opportunity_moderate_batch,reassignment_opportunity,moderate,3,3,9,data\experiments\campaign_batches\campaign_reassignment_opportunity_moderate_batch.json,analysis\reports\campaign_batch_blueprints\campaign_reassignment_opportunity_moderate_batch_blueprint_blueprint.json,template_based_executable_candidate,not_final_campaign_semantics
campaign_reassignment_opportunity_severe_batch,reassignment_opportunity,severe,3,3,9,data\experiments\campaign_batches\campaign_reassignment_opportunity_severe_batch.json,analysis\reports\campaign_batch_blueprints\campaign_reassignment_opportunity_severe_batch_blueprint_blueprint.json,template_based_executable_candidate,not_final_campaign_semantics
campaign_service_delay_only_light_batch,service_delay_only,light,3,3,9,data\experiments\campaign_batches\campaign_service_delay_only_light_batch.json,analysis\reports\campaign_batch_blueprints\campaign_service_delay_only_light_batch_blueprint_blueprint.json,template_based_executable_candidate,not_final_campaign_semantics
campaign_service_delay_only_moderate_batch,service_delay_only,moderate,3,3,9,data\experiments\campaign_batches\campaign_service_delay_only_moderate_batch.json,analysis\reports\campaign_batch_blueprints\campaign_service_delay_only_moderate_batch_blueprint_blueprint.json,template_based_executable_candidate,not_final_campaign_semantics
campaign_service_delay_only_severe_batch,service_delay_only,severe,3,3,9,data\experiments\campaign_batches\campaign_service_delay_only_severe_batch.json,analysis\reports\campaign_batch_blueprints\campaign_service_delay_only_severe_batch_blueprint_blueprint.json,template_based_executable_candidate,not_final_campaign_semantics
campaign_travel_delay_only_light_batch,travel_delay_only,light,3,3,9,data\experiments\campaign_batches\campaign_travel_delay_only_light_batch.json,analysis\reports\campaign_batch_blueprints\campaign_travel_delay_only_light_batch_blueprint_blueprint.json,template_based_executable_candidate,not_final_campaign_semantics
campaign_travel_delay_only_moderate_batch,travel_delay_only,moderate,3,3,9,data\experiments\campaign_batches\campaign_travel_delay_only_moderate_batch.json,analysis\reports\campaign_batch_blueprints\campaign_travel_delay_only_moderate_batch_blueprint_blueprint.json,template_based_executable_candidate,not_final_campaign_semantics
campaign_travel_delay_only_severe_batch,travel_delay_only,severe,3,3,9,data\experiments\campaign_batches\campaign_travel_delay_only_severe_batch.json,analysis\reports\campaign_batch_blueprints\campaign_travel_delay_only_severe_batch_blueprint_blueprint.json,template_based_executable_candidate,not_final_campaign_semantics
