batch_id,config_path,scenario_family_id,severity_id,perturbation_plan_id,perturbation_plan_path,experiment_count,updated_experiment_count,problem_count,semantic_status
campaign_combined_delay_light_batch,data/experiments/campaign_batches/campaign_combined_delay_light_batch.json,combined_delay,light,campaign_combined_delay_light_perturbation_plan,data/perturbations/campaign_plans/campaign_combined_delay_light_perturbation_plan.json,9,9,0,executable_campaign_config_with_family_specific_perturbations
campaign_combined_delay_moderate_batch,data/experiments/campaign_batches/campaign_combined_delay_moderate_batch.json,combined_delay,moderate,campaign_combined_delay_moderate_perturbation_plan,data/perturbations/campaign_plans/campaign_combined_delay_moderate_perturbation_plan.json,9,9,0,executable_campaign_config_with_family_specific_perturbations
campaign_combined_delay_severe_batch,data/experiments/campaign_batches/campaign_combined_delay_severe_batch.json,combined_delay,severe,campaign_combined_delay_severe_perturbation_plan,data/perturbations/campaign_plans/campaign_combined_delay_severe_perturbation_plan.json,9,9,0,executable_campaign_config_with_family_specific_perturbations
campaign_reassignment_opportunity_light_batch,data/experiments/campaign_batches/campaign_reassignment_opportunity_light_batch.json,reassignment_opportunity,light,campaign_reassignment_opportunity_light_perturbation_plan,data/perturbations/campaign_plans/campaign_reassignment_opportunity_light_perturbation_plan.json,9,9,0,executable_campaign_config_with_family_specific_perturbations
campaign_reassignment_opportunity_moderate_batch,data/experiments/campaign_batches/campaign_reassignment_opportunity_moderate_batch.json,reassignment_opportunity,moderate,campaign_reassignment_opportunity_moderate_perturbation_plan,data/perturbations/campaign_plans/campaign_reassignment_opportunity_moderate_perturbation_plan.json,9,9,0,executable_campaign_config_with_family_specific_perturbations
campaign_reassignment_opportunity_severe_batch,data/experiments/campaign_batches/campaign_reassignment_opportunity_severe_batch.json,reassignment_opportunity,severe,campaign_reassignment_opportunity_severe_perturbation_plan,data/perturbations/campaign_plans/campaign_reassignment_opportunity_severe_perturbation_plan.json,9,9,0,executable_campaign_config_with_family_specific_perturbations
campaign_service_delay_only_light_batch,data/experiments/campaign_batches/campaign_service_delay_only_light_batch.json,service_delay_only,light,campaign_service_delay_only_light_perturbation_plan,data/perturbations/campaign_plans/campaign_service_delay_only_light_perturbation_plan.json,9,9,0,executable_campaign_config_with_family_specific_perturbations
campaign_service_delay_only_moderate_batch,data/experiments/campaign_batches/campaign_service_delay_only_moderate_batch.json,service_delay_only,moderate,campaign_service_delay_only_moderate_perturbation_plan,data/perturbations/campaign_plans/campaign_service_delay_only_moderate_perturbation_plan.json,9,9,0,executable_campaign_config_with_family_specific_perturbations
campaign_service_delay_only_severe_batch,data/experiments/campaign_batches/campaign_service_delay_only_severe_batch.json,service_delay_only,severe,campaign_service_delay_only_severe_perturbation_plan,data/perturbations/campaign_plans/campaign_service_delay_only_severe_perturbation_plan.json,9,9,0,executable_campaign_config_with_family_specific_perturbations
campaign_travel_delay_only_light_batch,data/experiments/campaign_batches/campaign_travel_delay_only_light_batch.json,travel_delay_only,light,campaign_travel_delay_only_light_perturbation_plan,data/perturbations/campaign_plans/campaign_travel_delay_only_light_perturbation_plan.json,9,9,0,executable_campaign_config_with_family_specific_perturbations
campaign_travel_delay_only_moderate_batch,data/experiments/campaign_batches/campaign_travel_delay_only_moderate_batch.json,travel_delay_only,moderate,campaign_travel_delay_only_moderate_perturbation_plan,data/perturbations/campaign_plans/campaign_travel_delay_only_moderate_perturbation_plan.json,9,9,0,executable_campaign_config_with_family_specific_perturbations
campaign_travel_delay_only_severe_batch,data/experiments/campaign_batches/campaign_travel_delay_only_severe_batch.json,travel_delay_only,severe,campaign_travel_delay_only_severe_perturbation_plan,data/perturbations/campaign_plans/campaign_travel_delay_only_severe_perturbation_plan.json,9,9,0,executable_campaign_config_with_family_specific_perturbations
