perturbation_plan_id,path,scenario_family_id,severity_id,planned_run_count,perturbation_count,travel_perturbation_count,service_perturbation_count,planned_travel_delay_minutes,planned_service_delay_minutes,creates_reassignment_opportunity,semantic_status,scientific_status
campaign_combined_delay_light_perturbation_plan,data\perturbations\campaign_plans\campaign_combined_delay_light_perturbation_plan.json,combined_delay,light,3,2,1,1,10,7,False,family_specific_template_based_perturbation_plan,candidate_campaign_semantics
campaign_combined_delay_moderate_perturbation_plan,data\perturbations\campaign_plans\campaign_combined_delay_moderate_perturbation_plan.json,combined_delay,moderate,3,2,1,1,50,35,False,family_specific_template_based_perturbation_plan,candidate_campaign_semantics
campaign_combined_delay_severe_perturbation_plan,data\perturbations\campaign_plans\campaign_combined_delay_severe_perturbation_plan.json,combined_delay,severe,3,2,1,1,90,63,False,family_specific_template_based_perturbation_plan,candidate_campaign_semantics
campaign_reassignment_opportunity_light_perturbation_plan,data\perturbations\campaign_plans\campaign_reassignment_opportunity_light_perturbation_plan.json,reassignment_opportunity,light,3,1,1,0,10,0,True,family_specific_template_based_perturbation_plan,candidate_campaign_semantics
campaign_reassignment_opportunity_moderate_perturbation_plan,data\perturbations\campaign_plans\campaign_reassignment_opportunity_moderate_perturbation_plan.json,reassignment_opportunity,moderate,3,1,1,0,50,0,True,family_specific_template_based_perturbation_plan,candidate_campaign_semantics
campaign_reassignment_opportunity_severe_perturbation_plan,data\perturbations\campaign_plans\campaign_reassignment_opportunity_severe_perturbation_plan.json,reassignment_opportunity,severe,3,1,1,0,90,0,True,family_specific_template_based_perturbation_plan,candidate_campaign_semantics
campaign_service_delay_only_light_perturbation_plan,data\perturbations\campaign_plans\campaign_service_delay_only_light_perturbation_plan.json,service_delay_only,light,3,1,0,1,0,7,False,family_specific_template_based_perturbation_plan,candidate_campaign_semantics
campaign_service_delay_only_moderate_perturbation_plan,data\perturbations\campaign_plans\campaign_service_delay_only_moderate_perturbation_plan.json,service_delay_only,moderate,3,1,0,1,0,35,False,family_specific_template_based_perturbation_plan,candidate_campaign_semantics
campaign_service_delay_only_severe_perturbation_plan,data\perturbations\campaign_plans\campaign_service_delay_only_severe_perturbation_plan.json,service_delay_only,severe,3,1,0,1,0,63,False,family_specific_template_based_perturbation_plan,candidate_campaign_semantics
campaign_travel_delay_only_light_perturbation_plan,data\perturbations\campaign_plans\campaign_travel_delay_only_light_perturbation_plan.json,travel_delay_only,light,3,1,1,0,10,0,False,family_specific_template_based_perturbation_plan,candidate_campaign_semantics
campaign_travel_delay_only_moderate_perturbation_plan,data\perturbations\campaign_plans\campaign_travel_delay_only_moderate_perturbation_plan.json,travel_delay_only,moderate,3,1,1,0,50,0,False,family_specific_template_based_perturbation_plan,candidate_campaign_semantics
campaign_travel_delay_only_severe_perturbation_plan,data\perturbations\campaign_plans\campaign_travel_delay_only_severe_perturbation_plan.json,travel_delay_only,severe,3,1,1,0,90,0,False,family_specific_template_based_perturbation_plan,candidate_campaign_semantics
