perturbation_plan_id,path,exists,size_bytes,scenario_family_id,severity_id,perturbation_count,travel_perturbation_count,service_perturbation_count,expected_travel_delay,actual_travel_delay,expected_service_delay,actual_service_delay,problem_count,warning_count
campaign_combined_delay_light_perturbation_plan,data\perturbations\campaign_plans\campaign_combined_delay_light_perturbation_plan.json,True,1762,combined_delay,light,2,1,1,10,10,7,7,0,0
campaign_combined_delay_moderate_perturbation_plan,data\perturbations\campaign_plans\campaign_combined_delay_moderate_perturbation_plan.json,True,1785,combined_delay,moderate,2,1,1,50,50,35,35,0,0
campaign_combined_delay_severe_perturbation_plan,data\perturbations\campaign_plans\campaign_combined_delay_severe_perturbation_plan.json,True,1771,combined_delay,severe,2,1,1,90,90,63,63,0,0
campaign_reassignment_opportunity_light_perturbation_plan,data\perturbations\campaign_plans\campaign_reassignment_opportunity_light_perturbation_plan.json,True,1283,reassignment_opportunity,light,1,1,0,10,10,0,0,0,0
campaign_reassignment_opportunity_moderate_perturbation_plan,data\perturbations\campaign_plans\campaign_reassignment_opportunity_moderate_perturbation_plan.json,True,1298,reassignment_opportunity,moderate,1,1,0,50,50,0,0,0,0
campaign_reassignment_opportunity_severe_perturbation_plan,data\perturbations\campaign_plans\campaign_reassignment_opportunity_severe_perturbation_plan.json,True,1288,reassignment_opportunity,severe,1,1,0,90,90,0,0,0,0
campaign_service_delay_only_light_perturbation_plan,data\perturbations\campaign_plans\campaign_service_delay_only_light_perturbation_plan.json,True,1239,service_delay_only,light,1,0,1,0,0,7,7,0,0
campaign_service_delay_only_moderate_perturbation_plan,data\perturbations\campaign_plans\campaign_service_delay_only_moderate_perturbation_plan.json,True,1256,service_delay_only,moderate,1,0,1,0,0,35,35,0,0
campaign_service_delay_only_severe_perturbation_plan,data\perturbations\campaign_plans\campaign_service_delay_only_severe_perturbation_plan.json,True,1246,service_delay_only,severe,1,0,1,0,0,63,63,0,0
campaign_travel_delay_only_light_perturbation_plan,data\perturbations\campaign_plans\campaign_travel_delay_only_light_perturbation_plan.json,True,1248,travel_delay_only,light,1,1,0,10,10,0,0,0,0
campaign_travel_delay_only_moderate_perturbation_plan,data\perturbations\campaign_plans\campaign_travel_delay_only_moderate_perturbation_plan.json,True,1263,travel_delay_only,moderate,1,1,0,50,50,0,0,0,0
campaign_travel_delay_only_severe_perturbation_plan,data\perturbations\campaign_plans\campaign_travel_delay_only_severe_perturbation_plan.json,True,1253,travel_delay_only,severe,1,1,0,90,90,0,0,0,0
