batch_id,scenario_family_id,severity_id,scenario_id,recommended_policy_id,recommended_replanning_method_id,recommended_execution_mode,recommendation_class,has_clear_winner,best_score,second_best_score,score_margin_to_second,mean_delta_objective_value,mean_delta_makespan,mean_delta_total_travel_time,mean_total_lateness,mean_late_task_count,replanning_request_count,replanning_success_count,replanning_applied_count,experiment_count,ranking_row_count,result_json_path
campaign_combined_delay_light_batch,combined_delay,light,family_id_combined_delay_description_travel_and_service_times_are_both_perturbed_uses_travel_delay_true_uses_service_delay_true_creates_reassignment_opportunity_false_severity_id_light_nominal_delay_minutes_10_description_small_disruption_usually_useful_to_test_whether_replanning_is_unnecessary,no_replanning_policy_v1,replanning_not_implemented_v1,no_replanning_execution_baseline,weak_or_tied,False,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0,0,0,3,3,data\results\campaign_batches\campaign_combined_delay_light_batch_result.json
campaign_combined_delay_moderate_batch,combined_delay,moderate,family_id_combined_delay_description_travel_and_service_times_are_both_perturbed_uses_travel_delay_true_uses_service_delay_true_creates_reassignment_opportunity_false_severity_id_moderate_nominal_delay_minutes_50_description_medium_disruption_useful_to_test_trade_offs_between_keeping_the_plan_and_replanning,threshold_delay_replanning_policy_v1,greedy_replanning_solver_v1,replanning_applied_execution,replanning_tradeoff,True,-52.0,15.0,67.0,-52.0,38.0,-17.0,0.0,0.0,3,3,3,3,3,data\results\campaign_batches\campaign_combined_delay_moderate_batch_result.json
campaign_combined_delay_severe_batch,combined_delay,severe,family_id_combined_delay_description_travel_and_service_times_are_both_perturbed_uses_travel_delay_true_uses_service_delay_true_creates_reassignment_opportunity_false_severity_id_severe_nominal_delay_minutes_90_description_large_disruption_useful_to_test_robustness_risk_and_operational_recovery,threshold_delay_replanning_policy_v1,greedy_replanning_solver_v1,replanning_applied_execution,replanning_tradeoff,True,-52.0,55.0,107.0,-52.0,66.0,-17.0,0.0,0.0,3,3,3,3,3,data\results\campaign_batches\campaign_combined_delay_severe_batch_result.json
campaign_reassignment_opportunity_light_batch,reassignment_opportunity,light,family_id_reassignment_opportunity_description_a_disruption_creates_a_possible_benefit_from_reassigning_remaining_work_uses_travel_delay_true_uses_service_delay_false_creates_reassignment_opportunity_true_severity_id_light_nominal_delay_minutes_10_description_small_disruption_usually_useful_to_test_whether_replanning_is_unnecessary,no_replanning_policy_v1,replanning_not_implemented_v1,no_replanning_execution_baseline,weak_or_tied,False,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0,0,0,3,3,data\results\campaign_batches\campaign_reassignment_opportunity_light_batch_result.json
campaign_reassignment_opportunity_moderate_batch,reassignment_opportunity,moderate,family_id_reassignment_opportunity_description_a_disruption_creates_a_possible_benefit_from_reassigning_remaining_work_uses_travel_delay_true_uses_service_delay_false_creates_reassignment_opportunity_true_severity_id_moderate_nominal_delay_minutes_50_description_medium_disruption_useful_to_test_trade_offs_between_keeping_the_plan_and_replanning,threshold_delay_replanning_policy_v1,greedy_replanning_solver_v1,replanning_applied_execution,replanning_tradeoff,True,-52.0,15.0,67.0,-52.0,3.0,-17.0,0.0,0.0,3,3,3,3,3,data\results\campaign_batches\campaign_reassignment_opportunity_moderate_batch_result.json
campaign_reassignment_opportunity_severe_batch,reassignment_opportunity,severe,family_id_reassignment_opportunity_description_a_disruption_creates_a_possible_benefit_from_reassigning_remaining_work_uses_travel_delay_true_uses_service_delay_false_creates_reassignment_opportunity_true_severity_id_severe_nominal_delay_minutes_90_description_large_disruption_useful_to_test_robustness_risk_and_operational_recovery,threshold_delay_replanning_policy_v1,greedy_replanning_solver_v1,replanning_applied_execution,replanning_tradeoff,True,-52.0,55.0,107.0,-52.0,3.0,-17.0,0.0,0.0,3,3,3,3,3,data\results\campaign_batches\campaign_reassignment_opportunity_severe_batch_result.json
campaign_service_delay_only_light_batch,service_delay_only,light,family_id_service_delay_only_description_only_service_time_is_perturbed_uses_travel_delay_false_uses_service_delay_true_creates_reassignment_opportunity_false_severity_id_light_nominal_delay_minutes_10_description_small_disruption_usually_useful_to_test_whether_replanning_is_unnecessary,no_replanning_policy_v1,replanning_not_implemented_v1,no_replanning_execution_baseline,weak_or_tied,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,3,data\results\campaign_batches\campaign_service_delay_only_light_batch_result.json
campaign_service_delay_only_moderate_batch,service_delay_only,moderate,family_id_service_delay_only_description_only_service_time_is_perturbed_uses_travel_delay_false_uses_service_delay_true_creates_reassignment_opportunity_false_severity_id_moderate_nominal_delay_minutes_50_description_medium_disruption_useful_to_test_trade_offs_between_keeping_the_plan_and_replanning,no_replanning_policy_v1,replanning_not_implemented_v1,no_replanning_execution_baseline,weak_or_tied,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,3,data\results\campaign_batches\campaign_service_delay_only_moderate_batch_result.json
campaign_service_delay_only_severe_batch,service_delay_only,severe,family_id_service_delay_only_description_only_service_time_is_perturbed_uses_travel_delay_false_uses_service_delay_true_creates_reassignment_opportunity_false_severity_id_severe_nominal_delay_minutes_90_description_large_disruption_useful_to_test_robustness_risk_and_operational_recovery,no_replanning_policy_v1,replanning_not_implemented_v1,no_replanning_execution_baseline,weak_or_tied,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,3,data\results\campaign_batches\campaign_service_delay_only_severe_batch_result.json
campaign_travel_delay_only_light_batch,travel_delay_only,light,family_id_travel_delay_only_description_only_travel_time_is_perturbed_uses_travel_delay_true_uses_service_delay_false_creates_reassignment_opportunity_false_severity_id_light_nominal_delay_minutes_10_description_small_disruption_usually_useful_to_test_whether_replanning_is_unnecessary,no_replanning_policy_v1,replanning_not_implemented_v1,no_replanning_execution_baseline,weak_or_tied,False,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0,0,0,3,3,data\results\campaign_batches\campaign_travel_delay_only_light_batch_result.json
