planned_run_id,scenario_family_id,severity_id,replication_id,planned_travel_delay_minutes,planned_service_delay_minutes,creates_reassignment_opportunity,expected_descriptor,conservative_action,planned_policy_option_count,planned_algorithm_run_count,status
planned_travel_delay_only_light_rep001,travel_delay_only,light,1,10,0,False,stable_low_disruption,keep_current_plan_or_validate,3,3,planned_not_executed
planned_travel_delay_only_light_rep002,travel_delay_only,light,2,10,0,False,stable_low_disruption,keep_current_plan_or_validate,3,3,planned_not_executed
planned_travel_delay_only_light_rep003,travel_delay_only,light,3,10,0,False,stable_low_disruption,keep_current_plan_or_validate,3,3,planned_not_executed
planned_travel_delay_only_moderate_rep001,travel_delay_only,moderate,1,50,0,False,moderate_tradeoff,compare_policies_before_recommending,3,3,planned_not_executed
planned_travel_delay_only_moderate_rep002,travel_delay_only,moderate,2,50,0,False,moderate_tradeoff,compare_policies_before_recommending,3,3,planned_not_executed
planned_travel_delay_only_moderate_rep003,travel_delay_only,moderate,3,50,0,False,moderate_tradeoff,compare_policies_before_recommending,3,3,planned_not_executed
planned_travel_delay_only_severe_rep001,travel_delay_only,severe,1,90,0,False,high_impact_delay,compare_policies_with_risk_monitoring,3,3,planned_not_executed
planned_travel_delay_only_severe_rep002,travel_delay_only,severe,2,90,0,False,high_impact_delay,compare_policies_with_risk_monitoring,3,3,planned_not_executed
planned_travel_delay_only_severe_rep003,travel_delay_only,severe,3,90,0,False,high_impact_delay,compare_policies_with_risk_monitoring,3,3,planned_not_executed
planned_service_delay_only_light_rep001,service_delay_only,light,1,0,7,False,stable_low_disruption,keep_current_plan_or_validate,3,3,planned_not_executed
planned_service_delay_only_light_rep002,service_delay_only,light,2,0,7,False,stable_low_disruption,keep_current_plan_or_validate,3,3,planned_not_executed
planned_service_delay_only_light_rep003,service_delay_only,light,3,0,7,False,stable_low_disruption,keep_current_plan_or_validate,3,3,planned_not_executed
planned_service_delay_only_moderate_rep001,service_delay_only,moderate,1,0,35,False,moderate_tradeoff,compare_policies_before_recommending,3,3,planned_not_executed
planned_service_delay_only_moderate_rep002,service_delay_only,moderate,2,0,35,False,moderate_tradeoff,compare_policies_before_recommending,3,3,planned_not_executed
planned_service_delay_only_moderate_rep003,service_delay_only,moderate,3,0,35,False,moderate_tradeoff,compare_policies_before_recommending,3,3,planned_not_executed
planned_service_delay_only_severe_rep001,service_delay_only,severe,1,0,63,False,high_impact_delay,compare_policies_with_risk_monitoring,3,3,planned_not_executed
planned_service_delay_only_severe_rep002,service_delay_only,severe,2,0,63,False,high_impact_delay,compare_policies_with_risk_monitoring,3,3,planned_not_executed
planned_service_delay_only_severe_rep003,service_delay_only,severe,3,0,63,False,high_impact_delay,compare_policies_with_risk_monitoring,3,3,planned_not_executed
planned_combined_delay_light_rep001,combined_delay,light,1,10,7,False,stable_low_disruption,keep_current_plan_or_validate,3,3,planned_not_executed
planned_combined_delay_light_rep002,combined_delay,light,2,10,7,False,stable_low_disruption,keep_current_plan_or_validate,3,3,planned_not_executed
planned_combined_delay_light_rep003,combined_delay,light,3,10,7,False,stable_low_disruption,keep_current_plan_or_validate,3,3,planned_not_executed
planned_combined_delay_moderate_rep001,combined_delay,moderate,1,50,35,False,moderate_tradeoff,compare_policies_before_recommending,3,3,planned_not_executed
planned_combined_delay_moderate_rep002,combined_delay,moderate,2,50,35,False,moderate_tradeoff,compare_policies_before_recommending,3,3,planned_not_executed
planned_combined_delay_moderate_rep003,combined_delay,moderate,3,50,35,False,moderate_tradeoff,compare_policies_before_recommending,3,3,planned_not_executed
planned_combined_delay_severe_rep001,combined_delay,severe,1,90,63,False,high_impact_controlled_tradeoff,compare_policies_with_risk_monitoring,3,3,planned_not_executed
planned_combined_delay_severe_rep002,combined_delay,severe,2,90,63,False,high_impact_controlled_tradeoff,compare_policies_with_risk_monitoring,3,3,planned_not_executed
planned_combined_delay_severe_rep003,combined_delay,severe,3,90,63,False,high_impact_controlled_tradeoff,compare_policies_with_risk_monitoring,3,3,planned_not_executed
planned_reassignment_opportunity_light_rep001,reassignment_opportunity,light,1,10,0,True,stable_low_disruption,keep_current_plan_or_validate,3,3,planned_not_executed
planned_reassignment_opportunity_light_rep002,reassignment_opportunity,light,2,10,0,True,stable_low_disruption,keep_current_plan_or_validate,3,3,planned_not_executed
planned_reassignment_opportunity_light_rep003,reassignment_opportunity,light,3,10,0,True,stable_low_disruption,keep_current_plan_or_validate,3,3,planned_not_executed
planned_reassignment_opportunity_moderate_rep001,reassignment_opportunity,moderate,1,50,0,True,reassignment_opportunity,test_replanning_opportunity,3,3,planned_not_executed
planned_reassignment_opportunity_moderate_rep002,reassignment_opportunity,moderate,2,50,0,True,reassignment_opportunity,test_replanning_opportunity,3,3,planned_not_executed
planned_reassignment_opportunity_moderate_rep003,reassignment_opportunity,moderate,3,50,0,True,reassignment_opportunity,test_replanning_opportunity,3,3,planned_not_executed
planned_reassignment_opportunity_severe_rep001,reassignment_opportunity,severe,1,90,0,True,reassignment_opportunity,test_replanning_opportunity,3,3,planned_not_executed
planned_reassignment_opportunity_severe_rep002,reassignment_opportunity,severe,2,90,0,True,reassignment_opportunity,test_replanning_opportunity,3,3,planned_not_executed
planned_reassignment_opportunity_severe_rep003,reassignment_opportunity,severe,3,90,0,True,reassignment_opportunity,test_replanning_opportunity,3,3,planned_not_executed
