batch_id,family,severity,option,experiment_count,policy_should_replan_count,replanning_request_count,replanning_success_count,replanning_applied_count,mean_delta_objective,mean_delta_makespan,mean_delta_travel,mean_delta_service,mean_delta_lateness,trigger_behavior_class,warning_count,warnings,result_path
campaign_combined_delay_light_batch,combined_delay,light,no_replanning_baseline,3,0,0,0,0,0.0,0.0,10.0,7.0,0.0,baseline_policy,0,,data\results\campaign_batches\campaign_combined_delay_light_batch_result.json
campaign_combined_delay_light_batch,combined_delay,light,threshold_with_greedy_replanning,3,0,0,0,0,0.0,0.0,10.0,7.0,0.0,no_trigger,0,,data\results\campaign_batches\campaign_combined_delay_light_batch_result.json
campaign_combined_delay_light_batch,combined_delay,light,threshold_without_solver,3,0,0,0,0,0.0,0.0,10.0,7.0,0.0,no_trigger,0,,data\results\campaign_batches\campaign_combined_delay_light_batch_result.json
campaign_combined_delay_moderate_batch,combined_delay,moderate,no_replanning_baseline,3,0,0,0,0,15.0,15.0,50.0,35.0,0.0,baseline_policy,0,,data\results\campaign_batches\campaign_combined_delay_moderate_batch_result.json
campaign_combined_delay_moderate_batch,combined_delay,moderate,threshold_with_greedy_replanning,3,3,3,3,3,-52.0,38.0,-17.0,35.0,0.0,combined_delay_not_triggering_threshold,1,Combined delay did not trigger replanning despite moderate/severe disruption.,data\results\campaign_batches\campaign_combined_delay_moderate_batch_result.json
campaign_combined_delay_moderate_batch,combined_delay,moderate,threshold_without_solver,3,3,3,0,0,15.0,15.0,50.0,35.0,0.0,combined_delay_triggers_threshold,0,,data\results\campaign_batches\campaign_combined_delay_moderate_batch_result.json
campaign_combined_delay_severe_batch,combined_delay,severe,no_replanning_baseline,3,0,0,0,0,55.0,55.0,90.0,63.0,0.0,baseline_policy,0,,data\results\campaign_batches\campaign_combined_delay_severe_batch_result.json
campaign_combined_delay_severe_batch,combined_delay,severe,threshold_with_greedy_replanning,3,3,3,3,3,-52.0,66.0,-17.0,63.0,0.0,combined_delay_not_triggering_threshold,1,Combined delay did not trigger replanning despite moderate/severe disruption.,data\results\campaign_batches\campaign_combined_delay_severe_batch_result.json
campaign_combined_delay_severe_batch,combined_delay,severe,threshold_without_solver,3,3,3,0,0,55.0,55.0,90.0,63.0,0.0,combined_delay_triggers_threshold,0,,data\results\campaign_batches\campaign_combined_delay_severe_batch_result.json
campaign_reassignment_opportunity_light_batch,reassignment_opportunity,light,no_replanning_baseline,3,0,0,0,0,0.0,0.0,10.0,0.0,0.0,baseline_policy,0,,data\results\campaign_batches\campaign_reassignment_opportunity_light_batch_result.json
campaign_reassignment_opportunity_light_batch,reassignment_opportunity,light,threshold_with_greedy_replanning,3,0,0,0,0,0.0,0.0,10.0,0.0,0.0,no_trigger,0,,data\results\campaign_batches\campaign_reassignment_opportunity_light_batch_result.json
campaign_reassignment_opportunity_light_batch,reassignment_opportunity,light,threshold_without_solver,3,0,0,0,0,0.0,0.0,10.0,0.0,0.0,no_trigger,0,,data\results\campaign_batches\campaign_reassignment_opportunity_light_batch_result.json
campaign_reassignment_opportunity_moderate_batch,reassignment_opportunity,moderate,no_replanning_baseline,3,0,0,0,0,15.0,15.0,50.0,0.0,0.0,baseline_policy,0,,data\results\campaign_batches\campaign_reassignment_opportunity_moderate_batch_result.json
campaign_reassignment_opportunity_moderate_batch,reassignment_opportunity,moderate,threshold_with_greedy_replanning,3,3,3,3,3,-52.0,3.0,-17.0,0.0,0.0,travel_delay_not_triggering_threshold,1,Travel-related moderate/severe delay did not trigger replanning.,data\results\campaign_batches\campaign_reassignment_opportunity_moderate_batch_result.json
campaign_reassignment_opportunity_moderate_batch,reassignment_opportunity,moderate,threshold_without_solver,3,3,3,0,0,15.0,15.0,50.0,0.0,0.0,travel_delay_triggers_threshold,0,,data\results\campaign_batches\campaign_reassignment_opportunity_moderate_batch_result.json
campaign_reassignment_opportunity_severe_batch,reassignment_opportunity,severe,no_replanning_baseline,3,0,0,0,0,55.0,55.0,90.0,0.0,0.0,baseline_policy,0,,data\results\campaign_batches\campaign_reassignment_opportunity_severe_batch_result.json
campaign_reassignment_opportunity_severe_batch,reassignment_opportunity,severe,threshold_with_greedy_replanning,3,3,3,3,3,-52.0,3.0,-17.0,0.0,0.0,travel_delay_not_triggering_threshold,1,Travel-related moderate/severe delay did not trigger replanning.,data\results\campaign_batches\campaign_reassignment_opportunity_severe_batch_result.json
campaign_reassignment_opportunity_severe_batch,reassignment_opportunity,severe,threshold_without_solver,3,3,3,0,0,55.0,55.0,90.0,0.0,0.0,travel_delay_triggers_threshold,0,,data\results\campaign_batches\campaign_reassignment_opportunity_severe_batch_result.json
campaign_service_delay_only_light_batch,service_delay_only,light,no_replanning_baseline,3,0,0,0,0,0.0,0.0,0.0,7.0,0.0,baseline_policy,0,,data\results\campaign_batches\campaign_service_delay_only_light_batch_result.json
campaign_service_delay_only_light_batch,service_delay_only,light,threshold_with_greedy_replanning,3,0,0,0,0,0.0,0.0,0.0,7.0,0.0,no_trigger,0,,data\results\campaign_batches\campaign_service_delay_only_light_batch_result.json
campaign_service_delay_only_light_batch,service_delay_only,light,threshold_without_solver,3,0,0,0,0,0.0,0.0,0.0,7.0,0.0,no_trigger,0,,data\results\campaign_batches\campaign_service_delay_only_light_batch_result.json
campaign_service_delay_only_moderate_batch,service_delay_only,moderate,no_replanning_baseline,3,0,0,0,0,0.0,0.0,0.0,35.0,0.0,baseline_policy,0,,data\results\campaign_batches\campaign_service_delay_only_moderate_batch_result.json
campaign_service_delay_only_moderate_batch,service_delay_only,moderate,threshold_with_greedy_replanning,3,3,3,3,3,0.0,0.0,0.0,35.0,0.0,triggered,0,,data\results\campaign_batches\campaign_service_delay_only_moderate_batch_result.json
campaign_service_delay_only_moderate_batch,service_delay_only,moderate,threshold_without_solver,3,3,3,0,0,0.0,0.0,0.0,35.0,0.0,triggered,0,,data\results\campaign_batches\campaign_service_delay_only_moderate_batch_result.json
campaign_service_delay_only_severe_batch,service_delay_only,severe,no_replanning_baseline,3,0,0,0,0,0.0,0.0,0.0,63.0,0.0,baseline_policy,0,,data\results\campaign_batches\campaign_service_delay_only_severe_batch_result.json
