category,field,value
overall,engineering_status,passed_current_structural_quality_gate
overall,scientific_status,diagnostic_only_with_methodological_warnings
overall,structural_all_required_checks_passed,yes
tests,analysis_script_count,47
tests,python_test_count,17
tests,cpp_test_source_count,45
tests,script_without_direct_python_test_count,0
tests,script_needing_test_review_count,0
pipeline,pipeline_step_count,26
pipeline,pipeline_failed_step_count,0
final_diagnostic,final_diagnostic_row_count,12
ranking_sensitivity,ranking_row_count,144
ranking_sensitivity,scenario_summary_count,12
ranking_sensitivity,sensitive_to_ranking_profile_count,2
ranking_sensitivity,ranking_fragility_status,some_scenarios_sensitive_to_ranking_profile
warnings,methodological_warning_count,2
