batch_id,family,severity,completed_experiment_count,is_complete,option_count,recommended_policy_id,recommended_method_id,has_clear_winner,baseline_delta_objective,baseline_delta_makespan,baseline_delta_travel,baseline_delta_service,baseline_delta_waiting,baseline_delta_lateness,greedy_delta_objective,greedy_delta_makespan,greedy_delta_travel,greedy_delta_service,greedy_delta_waiting,greedy_delta_lateness,service_effect_class,warning_count,warnings,result_path
campaign_combined_delay_light_batch,combined_delay,light,9,True,3,no_replanning_policy_v1,replanning_not_implemented_v1,False,0.0,0.0,10.0,7.0,-10.0,0.0,0.0,0.0,10.0,7.0,-10.0,0.0,visible_but_neutral_and_kept_plan,1,"Service delay is visible in service time, but neutral in objective, makespan, and lateness under current metrics.",data\results\campaign_batches\campaign_combined_delay_light_batch_result.json
campaign_combined_delay_moderate_batch,combined_delay,moderate,9,True,3,threshold_delay_replanning_policy_v1,greedy_replanning_solver_v1,True,15.0,15.0,50.0,35.0,-35.0,0.0,-52.0,38.0,-17.0,35.0,-35.0,0.0,visible_with_metric_effect,0,,data\results\campaign_batches\campaign_combined_delay_moderate_batch_result.json
campaign_combined_delay_severe_batch,combined_delay,severe,9,True,3,threshold_delay_replanning_policy_v1,greedy_replanning_solver_v1,True,55.0,55.0,90.0,63.0,-35.0,0.0,-52.0,66.0,-17.0,63.0,-35.0,0.0,visible_with_metric_effect,0,,data\results\campaign_batches\campaign_combined_delay_severe_batch_result.json
campaign_reassignment_opportunity_light_batch,reassignment_opportunity,light,9,True,3,no_replanning_policy_v1,replanning_not_implemented_v1,False,0.0,0.0,10.0,0.0,-10.0,0.0,0.0,0.0,10.0,0.0,-10.0,0.0,not_service_related,0,,data\results\campaign_batches\campaign_reassignment_opportunity_light_batch_result.json
campaign_reassignment_opportunity_moderate_batch,reassignment_opportunity,moderate,9,True,3,threshold_delay_replanning_policy_v1,greedy_replanning_solver_v1,True,15.0,15.0,50.0,0.0,-35.0,0.0,-52.0,3.0,-17.0,0.0,-35.0,0.0,not_service_related,0,,data\results\campaign_batches\campaign_reassignment_opportunity_moderate_batch_result.json
campaign_reassignment_opportunity_severe_batch,reassignment_opportunity,severe,9,True,3,threshold_delay_replanning_policy_v1,greedy_replanning_solver_v1,True,55.0,55.0,90.0,0.0,-35.0,0.0,-52.0,3.0,-17.0,0.0,-35.0,0.0,not_service_related,0,,data\results\campaign_batches\campaign_reassignment_opportunity_severe_batch_result.json
campaign_service_delay_only_light_batch,service_delay_only,light,9,True,3,no_replanning_policy_v1,replanning_not_implemented_v1,False,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,visible_but_neutral_and_kept_plan,1,"Service delay is visible in service time, but neutral in objective, makespan, and lateness under current metrics.",data\results\campaign_batches\campaign_service_delay_only_light_batch_result.json
campaign_service_delay_only_moderate_batch,service_delay_only,moderate,9,True,3,no_replanning_policy_v1,replanning_not_implemented_v1,False,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,visible_but_neutral_and_kept_plan,1,"Service delay is visible in service time, but neutral in objective, makespan, and lateness under current metrics.",data\results\campaign_batches\campaign_service_delay_only_moderate_batch_result.json
campaign_service_delay_only_severe_batch,service_delay_only,severe,9,True,3,no_replanning_policy_v1,replanning_not_implemented_v1,False,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,visible_but_neutral_and_kept_plan,1,"Service delay is visible in service time, but neutral in objective, makespan, and lateness under current metrics.",data\results\campaign_batches\campaign_service_delay_only_severe_batch_result.json
campaign_travel_delay_only_light_batch,travel_delay_only,light,9,True,3,no_replanning_policy_v1,replanning_not_implemented_v1,False,0.0,0.0,10.0,0.0,-10.0,0.0,0.0,0.0,10.0,0.0,-10.0,0.0,not_service_related,0,,data\results\campaign_batches\campaign_travel_delay_only_light_batch_result.json
campaign_travel_delay_only_moderate_batch,travel_delay_only,moderate,9,True,3,threshold_delay_replanning_policy_v1,greedy_replanning_solver_v1,True,15.0,15.0,50.0,0.0,-35.0,0.0,-52.0,3.0,-17.0,0.0,-35.0,0.0,not_service_related,0,,data\results\campaign_batches\campaign_travel_delay_only_moderate_batch_result.json
campaign_travel_delay_only_severe_batch,travel_delay_only,severe,9,True,3,threshold_delay_replanning_policy_v1,greedy_replanning_solver_v1,True,55.0,55.0,90.0,0.0,-35.0,0.0,-52.0,3.0,-17.0,0.0,-35.0,0.0,not_service_related,0,,data\results\campaign_batches\campaign_travel_delay_only_severe_batch_result.json
